INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Pennsylvania State University-Penn State Fayette- Eberly,Lemont Furnace,PA,15456-1025,2,1,-79.659317,39.946455
Pennsylvania State University-Penn State Hazleton,Hazleton,PA,18202-8025,2,1,-76.030975,40.98396
Pennsylvania State University-Main Campus,University Park,PA,16802-1503,5,5,-77.862848,40.7965
Pennsylvania State University-Penn State Greater Allegheny,McKeesport,PA,15132-7644,1,1,-79.827428,40.345591
Pennsylvania State University-Penn State Mont Alto,Mont Alto,PA,17237-9700,2,1,-77.541797,39.842212
Pennsylvania State University-Penn State Abington,Abington,PA,19001-3918,2,2,-75.110724,40.117101
Pennsylvania State University-Penn State Schuylkill,Schuylkill Haven,PA,17972-2202,2,1,-76.166374,40.640512
Pennsylvania State University-Penn State York,York,PA,17403-3326,2,1,-76.703486,39.95283
Peirce College,Philadelphia,PA,19103-5443,2,1,-75.168105,39.949623
Penn Commercial Business/Technical School,Washington,PA,15301-6822,1,1,-80.238844,40.182387
Pennco Tech-Bristol,Bristol,PA,19007,2,1,-74.870959,40.097992
Pennsylvania Academy of the Fine Arts,Philadelphia,PA,19102-1510,1,1,-75.163456,39.955692
Pennsylvania Gunsmith School,Pittsburgh,PA,15202-2637,-2,1,-80.068863,40.496672
Cortiva Institute,King of Prussia,PA,19406,-2,1,-75.378356,40.08063
Pennsylvania College of Art and Design,Lancaster,PA,17603-0059,1,1,-76.308769,40.041152
University of Pennsylvania,Philadelphia,PA,19104-6303,4,5,-75.19391,39.950929
